,date,model_name,lr,batch_size,training_data,patch_size,epochs,base_psnr,best_psnr,latest_psnr
2021-03-05-13-50-16,2021-03-05-13-58-08,dncnn,0.05,12,./Dataset/TEST,96,1,40.67747498,40.19568634,40.19533920000001
2021-03-05-14-13-20,2021-03-05-14-17-15,dncnn,0.01,12,./Dataset/TEST,96,1,40.67747498,37.6816864,37.6816864
2021-03-05-14-17-17,2021-03-05-14-21-11,dncnn,0.05,12,./Dataset/TEST,96,1,40.67747498,40.19568634,40.19568634
2021-03-05-14-21-14,2021-03-05-14-25-06,dncnn,0.001,12,./Dataset/TEST,96,1,40.67747498,40.1828537,40.1828537
2021-03-05-14-25-09,2021-03-05-14-29-02,dncnn,0.005,12,./Dataset/TEST,96,1,40.67747498,39.70269012,39.70269012
2021-03-05-14-29-04,2021-03-05-14-32-57,dncnn,0.0001,12,./Dataset/TEST,96,1,40.67747498,40.13614655,40.13614655
2021-03-05-14-33-00,2021-03-05-14-36-52,dncnn,0.0005,12,./Dataset/TEST,96,1,40.67747498,39.59782791,39.59782791
2021-03-05-14-36-55,2021-03-05-14-45-30,dncnn,1e-05,12,./Dataset/TEST,96,1,40.67747498,39.72986603,39.72986603
2021-03-05-14-45-33,2021-03-05-14-49-27,dncnn,5e-05,12,./Dataset/TEST,96,1,40.67747498,40.14559174,40.14559174
2021-03-05-16-09-31,2021-03-05-17-26-07,dncnn,0.01,12,./Dataset/TEST,96,2,40.67747498,40.19568634,40.19568634
2021-03-05-17-26-10,2021-03-05-18-40-21,dncnn,0.05,12,./Dataset/TEST,96,1,40.67747498,40.19568634,40.19568634
2021-03-05-18-40-24,2021-03-05-19-54-15,dncnn,0.001,12,./Dataset/TEST,96,3,40.67747498,40.2047348,40.19568634
2021-03-05-19-54-18,2021-03-05-21-08-11,dncnn,0.005,12,./Dataset/TEST,96,3,40.67747498,40.19568634,40.19568634
2021-03-05-21-08-13,2021-03-05-22-22-13,dncnn,0.0001,12,./Dataset/TEST,96,19,40.67747498,41.03853226,41.03853226
2021-03-05-22-22-16,2021-03-05-23-36-13,dncnn,0.0005,12,./Dataset/TEST,96,7,40.67747498,40.74501038,40.19568634
2021-03-05-23-36-16,2021-03-06-00-50-15,dncnn,1e-05,12,./Dataset/TEST,96,19,40.67747498,40.49941635,40.49941635
2021-03-06-00-50-18,2021-03-06-02-04-56,dncnn,5e-05,12,./Dataset/TEST,96,19,40.67747498,40.78587341,40.78587341
2021-03-06-14-10-43,2021-03-06-16-03-36,dncnn,0.000122137,12,./Dataset/TEST,96,27,40.67747498,41.29098511,41.19927216
2021-03-06-16-03-39,2021-03-06-17-56-33,dncnn,6.2e-05,12,./Dataset/TEST,96,27,40.67747498,41.05974579,40.96364594
2021-03-06-17-56-35,2021-03-06-19-49-36,dncnn,0.00034283,12,./Dataset/TEST,96,14,40.67747498,41.07639313,40.19561768
2021-03-06-19-49-39,2021-03-06-21-42-32,dncnn,0.000213238,12,./Dataset/TEST,96,27,40.67747498,41.42971039,41.26030731
2021-03-06-21-42-35,2021-03-06-23-35-41,dncnn,3.41e-05,12,./Dataset/TEST,96,27,40.67747498,40.83916473,40.70413208
2021-03-06-23-35-43,2021-03-07-01-28-54,dncnn,0.000159234,12,./Dataset/TEST,96,27,40.67747498,41.37252808,41.25344086
2021-03-07-01-28-57,2021-03-07-03-22-39,dncnn,0.000180542,12,./Dataset/TEST,96,27,40.67747498,41.40066528,40.91272354
2021-03-07-03-22-42,2021-03-07-05-15-19,dncnn,0.000401555,12,./Dataset/TEST,96,27,40.67747498,41.39165878,41.34784317
2021-03-08-11-38-39,2021-03-08-13-31-36,dncnn,3.39e-05,12,./Dataset/TEST,96,27,40.67747498,40.84679031,40.74730682
2021-03-08-13-31-38,2021-03-08-15-24-48,dncnn,5.63e-06,12,./Dataset/TEST,96,27,40.67747498,40.50819778,40.42340851
2021-03-08-15-24-51,2021-03-08-17-18-06,dncnn,4.3e-05,12,./Dataset/TEST,96,27,40.67747498,40.9269104,40.82250595
2021-03-08-17-18-09,2021-03-08-19-11-07,dncnn,2.43e-05,12,./Dataset/TEST,96,27,40.67747498,40.77411652,40.65601349
2021-03-08-19-11-10,2021-03-08-21-04-08,dncnn,3.86e-05,12,./Dataset/TEST,96,27,40.67747498,40.88621521,40.76371765
2021-03-08-21-04-11,2021-03-08-22-57-06,dncnn,3.16e-06,12,./Dataset/TEST,96,27,40.67747498,40.43186951,40.36319733
2021-03-08-22-57-09,2021-03-09-00-50-02,dncnn,1.74e-05,12,./Dataset/TEST,96,27,40.67747498,40.70524979,40.61813736
2021-03-09-00-50-05,2021-03-09-02-43-56,dncnn,3.13e-05,12,./Dataset/TEST,96,27,40.67747498,40.82582855,40.71352386
2021-03-24-18-04-38,2021-03-24-18-45-32,dncnn,1.497765654687329e-05,2,./Dataset/TEST,96,48,40.67747497558594,40.473880767822266,40.44090270996094
2021-03-24-18-45-34,2021-03-24-19-26-32,dncnn,2.294125519306045e-05,2,./Dataset/TEST,96,48,40.67747497558594,40.5229606628418,40.486534118652344
2021-04-28-15-57-59,2021-04-28-16-01-44,dncnn,0.2749470316175052,2,./Dataset/TEST,96,1,40.67747497558594,40.19568634033203,40.19568634033203
2021-04-28-17-21-35,2021-04-28-18-10-56,dncnn,0.0004784643425298716,2,./Dataset/TEST,96,11,40.67747497558594,40.19568634033203,40.19568634033203
2021-04-29-10-33-52,2021-04-29-10-52-17,dncnn,4.294748173542552e-05,2,./Dataset/TEST,96,6,43.49581527709961,43.43008041381836,43.19855499267578
2021-04-29-13-06-09,2021-04-29-14-30-05,dncnn,1.3835398648246247e-05,2,./Dataset/TEST,96,17,47.465721130371094,47.35094833374024,47.28400421142578
2021-04-29-15-54-03,2021-04-29-16-13-30,dncnn,4.2048659151506436e-05,2,./Dataset/TEST,96,3,46.0471305847168,45.84267807006836,45.58711624145508
2021-04-29-16-15-35,2021-04-29-17-35-30,dncnn,3.997231945036125e-05,2,./Dataset/TEST,96,9,46.0471305847168,45.87528610229492,45.73527145385742
2021-04-29-17-35-36,2021-04-29-18-45-00,dncnn,3.686256750860621e-05,2,./Dataset/TEST,96,12,46.0471305847168,45.91226577758789,45.667457580566406
2021-04-29-19-00-41,2021-04-29-22-52-47,dncnn,2.4095878931761403e-05,6,./Dataset/TEST,96,16,46.0471305847168,45.90199661254883,45.8138427734375
2021-04-29-22-52-52,2021-04-30-02-42-09,dncnn,2.2477369053395552e-05,6,./Dataset/TEST,96,10,46.0471305847168,45.912940979003906,45.82110214233398
2021-04-30-02-42-15,2021-04-30-06-09-31,dncnn,1.4439597813782986e-05,5,./Dataset/TEST,96,18,46.0471305847168,45.91322708129883,45.89779663085938
2021-04-30-06-09-36,2021-04-30-09-57-54,dncnn,2.015183481875357e-06,6,./Dataset/TEST,96,24,46.0471305847168,45.91433334350586,45.91318893432617
2021-04-30-09-57-59,2021-04-30-10-51-54,dncnn,4.0110902238221634e-06,3,./Dataset/TEST,96,16,46.0471305847168,45.910621643066406,45.86978149414063
2021-04-30-16-14-12,2021-04-30-17-35-33,dncnn,4.592675976673746e-05,2,./Dataset/TEST,96,18,46.0471305847168,45.897865295410156,45.73065567016602
2021-04-30-17-35-38,2021-04-30-18-55-51,dncnn,3.1666435744307225e-05,2,./Dataset/TEST,96,10,46.0471305847168,45.91223526000977,45.79171371459961
2021-04-30-18-55-56,2021-04-30-20-46-55,dncnn,3.948908416395605e-05,4,./Dataset/TEST,96,5,46.0471305847168,45.90401077270508,45.81414031982422
2021-04-30-20-47-00,2021-04-30-22-06-42,dncnn,3.0726193581513188e-06,2,./Dataset/TEST,96,28,46.0471305847168,45.91265487670898,45.91063690185547
2021-04-30-22-06-47,2021-04-30-23-57-26,dncnn,2.146281744037933e-06,4,./Dataset/TEST,96,26,46.0471305847168,45.91292190551758,45.91280746459961
2021-04-30-23-57-31,2021-05-01-01-48-23,dncnn,2.529447513774844e-05,4,./Dataset/TEST,96,13,46.0471305847168,45.91173934936523,45.856163024902344
2021-05-01-01-48-28,2021-05-01-03-39-36,dncnn,4.461396702967735e-05,4,./Dataset/TEST,96,26,46.0471305847168,45.89471435546875,45.7817268371582
2021-06-03-14-24-23,2021-06-03-14-29-39,dncnn_qp,0.01,2,./Dataset/TEST,96,1,46.0471305847168,21.38176155090332,21.38176155090332
2021-06-03-16-46-12,2021-06-03-18-00-09,dncnn_qp,0.01,2,./Dataset/TEST,96,10,46.0471305847168,45.66653823852539,45.53928756713867
2021-06-04-12-05-30,2021-06-04-13-57-01,dncnn_qp,2.681302360568156e-05,4,./Dataset/TEST,96,13,46.0471305847168,45.91308212280274,45.87005615234375
2021-06-04-13-57-06,2021-06-04-14-10-51,dncnn_qp,2.120522857345372e-05,2,./Dataset/TEST,96,5,46.0471305847168,45.75821304321289,45.75821304321289
2021-06-04-15-24-05,2021-06-04-16-29-29,dncnn_qp,4.97565001265886e-05,4,./Dataset/TEST,96,8,46.0471305847168,45.90949249267578,45.86887741088867
2021-06-04-17-30-35,2021-06-04-19-22-45,dncnn_qp,2.8618201025979577e-05,4,./Dataset/TEST,96,29,46.0471305847168,45.91292190551758,45.91292190551758
2021-06-04-21-05-16,2021-06-04-23-47-56,dncnn_qp,1.851685346775409e-05,2,./Dataset/TEST,96,58,46.0471305847168,45.91284942626953,45.053260803222656
2021-06-04-23-48-01,2021-06-05-03-32-53,dncnn_qp,3.661822259987163e-05,4,./Dataset/TEST,96,58,46.0471305847168,45.913330078125,45.91318893432617
2021-06-05-03-32-57,2021-06-05-07-16-57,dncnn_qp,1.2458187505626206e-05,4,./Dataset/TEST,96,58,46.0471305847168,45.9132080078125,45.91320037841797
2021-06-05-07-17-02,2021-06-05-09-57-31,dncnn_qp,2.121765954910024e-06,2,./Dataset/TEST,96,58,46.0471305847168,45.429115295410156,42.82797622680664
2021-06-05-09-57-36,2021-06-05-10-00-45,dncnn_qp,2.9585167001710585e-06,3,./Dataset/TEST,96,1,46.0471305847168,32.0433349609375,32.0433349609375
2021-06-05-11-44-55,2021-06-05-11-49-38,dncnn_qp,1.316878666977441e-05,6,./Dataset/TEST,96,1,46.0471305847168,41.92861557006836,41.92861557006836
2021-06-05-11-55-53,2021-06-05-13-28-34,dncnn_qp,1.7762019188815935e-05,15,./Dataset/TEST,96,8,46.0471305847168,45.91029739379883,45.9077377319336
2021-06-05-14-42-46,2021-06-06-02-02-42,dncnn_qp,1.5864486775499123e-05,20,./Dataset/TEST,96,56,46.0471305847168,45.91324234008789,45.91324234008789
2021-06-06-02-02-47,2021-06-06-10-52-12,dncnn_qp,4.09937602094092e-05,20,./Dataset/TEST,96,37,46.0471305847168,45.91379928588867,45.89536666870117
2021-06-10-11-53-05,2021-06-10-21-18-28,dncnn_qp,4.476300748744638e-05,15,./Dataset/TEST,96,51,46.0471305847168,45.91323852539063,45.91315841674805
2021-06-18-15-37-47,2021-06-19-03-17-28,dncnn_qp,0.0004917118453214009,20,./Dataset/TEST,96,10,46.0471305847168,45.91324996948242,45.91324996948242
2021-06-19-03-17-33,2021-06-19-13-45-03,dncnn_qp,0.0003305846628919766,20,./Dataset/TEST,96,11,46.0471305847168,45.91324996948242,45.91324996948242
2021-06-21-12-26-35,2021-06-21-19-44-22,dncnn_qp,3.4627515311487294e-05,15,./Dataset/TEST,96,27,41.538909912109375,41.46925735473633,41.46925735473633
